Unnamed: 0,Name,Age,Hometown,ElimWeek,Season,Region
182,Lauren Wanger,27.0,"Marlboro, New Jersey",4.0,13,3
183,Megan Parris,25.0,"Sewickley, Pennsylvania",4.0,13,3
184,Shannon Bair,29.0,"Marshall, Missouri",4.0,13,4
185,"Nicole ""Nikki"" Kaapke",29.0,"Blue Island, Illinois",4.0,13,4
186,Erica DeSimone,25.0,"Monroe, Connecticut",3.0,13,3
187,Kari Fajen,27.0,"Lee's Summit, Missouri",3.0,13,4
188,Natalie Getz,27.0,"Morton, Illinois",3.0,13,4
189,Raquel Medeiros,27.0,"Recife, Pernambuco, Brazil",2.0,13,4
190,Sharon Staebell,32.0,"Batavia, New York",2.0,13,3
191,Lisa Gonzalez,28.0,"Boise, Idaho",2.0,13,4
192,Ann Lueders,24.0,"Phoenix, Arizona",1.0,13,4
193,Dominique Carta,26.0,"Mt. Carmel, Pennsylvania",1.0,13,3
194,Emily,23.0,"Seattle, Washington",1.0,13,1
195,Jackie Hickey,26.0,"Springfield, Massachusetts",1.0,13,3
196,Julie Dermotta,26.0,"Columbus, Ohio",1.0,13,4
197,Nicole Mah,25.0,"Calgary, Alberta",1.0,13,4
198,Renee Simlak,36.0,"Southfield, Michigan",1.0,13,4
199,Shelby,23.0,"Stockton, California",1.0,13,1
200,Stacia Mann,24.0,"Orem, Utah",1.0,13,4
201,Treasure Morgan,28.0,"Salt Lake City, Utah",1.0,13,4
202,Vienna Girardi,23.0,"Geneva, Florida",11.0,14,2
203,Tenley Molzahn,25.0,"Newberg, Oregon",8.0,14,1
204,Gia Allemand,26.0,"New York, New York",7.0,14,3
205,Ali Fedotowsky,25.0,"Williamstown, Massachusetts",6.0,14,3
206,Corrie Adamson,23.0,"Kissimmee, Florida",5.0,14,2
207,Ashleigh Hunt,25.0,"North Potomac, Maryland",4.0,14,3
208,Jessie Sulidis,25.0,"Oakville, Ontario",4.0,14,4
209,Kathryn Sherlock,25.0,"Lexington, Kentucky",4.0,14,2
210,Ella Nolan,30.0,"La Follette, Tennessee",4.0,14,2
211,Elizabeth Kitt (NE),29.0,"Imperial, Nebraska",3.0,14,4
212,Valishia Savage,32.0,"San Bernardino, California",3.0,14,1
213,Michelle Kujawa,26.0,"Anaheim, California",3.0,14,1
214,Ashley Elmore,29.0,"Pittsburgh, Pennsylvania",2.0,14,3
215,Christina McCasland,25.0,"San Diego, California",2.0,14,1
216,Rozlyn Papa,28.0,"Richmond, Virginia",2.0,14,2
217,Alexa (Lex) McAllister,25.0,"Galloway, Ohio",1.0,14,4
218,Caitlyn McCabe,24.0,"Winfield, Illinois",1.0,14,4
219,Channy Choch,29.0,"Santa Rosa, California",1.0,14,1
220,Elizabeth Kreft (D.C.),29.0,"Union, Kentucky",1.0,14,2
221,Emily Harkins,23.0,"West Chester, Ohio",1.0,14,4
222,Kimberly Sullivan,24.0,"Norman, Oklahoma",1.0,14,4
223,Kirsten Pittman,25.0,"Aurora, Colorado",1.0,14,4
224,Sheila Marie Lidner,25.0,"Scottsdale, Arizona",1.0,14,4
225,Stephanie Mueller,24.0,"Morris, Illinois",1.0,14,4
226,Tiana Kruzel,31.0,"Calgary, Alberta",1.0,14,4
227,Emily Maynard,25.0,"Morgantown, West Virginia",11.0,15,2
228,Chantal O'Brien,28.0,"Mercer Island, Washington",10.0,15,1
229,Ashley Hebert,26.0,"Madawaska, Maine",9.0,15,3
230,Shawntel Newton,25.0,"Chico, California",8.0,15,1
231,Michelle Money,30.0,"Salt Lake City, Utah",7.0,15,4
232,Britt Billmaier,25.0,"Woodinville, Washington",7.0,15,1
233,Jackie Gordon,26.0,"Newport, Rhode Island",6.0,15,3
234,Alli Travis,24.0,"Columbus, Ohio",6.0,15,4
